pair_id,company_a_global_id,company_b_global_id,current_identity_state_a,current_identity_state_b,source_id,assisted_bucket
FZ-01485-300273-555689,bc31a7fa-b0d6-4927-a06f-0768a6eb63aa,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01486-286741-549857,6635646f-9b29-4e3a-a4f8-e616828d31a0,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01487-299928-555512,6018aca3-0479-463b-8af4-710f407b8166,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01488-287241-550029,8e6badfe-7f1a-404b-87ea-abaeeae4a6d8,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01489-297080-554329,f38020a8-f0e7-4b7d-a01b-09592b948be0,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01490-265468-277140,9928789d-5b75-4d52-b284-755801f9c140,1eb87974-c338-4f7d-9a5d-b1ff8682679b,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01491-221953-547287,7d05c8a4-fede-4e4a-83f7-868a3ecfab3a,,REVIEW_REQUIRED,,Saudi Companies Directory,UNSURE
FZ-01492-250440-253799,e7d7714a-a1c9-46e4-beae-a2f19fc15be6,02f8972b-b184-41d3-b402-743eda7cfc26,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01493-226479-229568,0079dc0a-d22b-478b-ae41-c0fd3a1bffbb,0608d57e-c88d-446f-981f-9eb55c15d071,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01494-243191-267111,5fe20187-f56f-4f85-ba0b-2f49b96ea474,e99c1a06-26ea-47cc-94eb-4ee6ddbe3125,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01495-260648-276858,4a62e3ef-81f0-49ca-939c-b6e2f89cecdf,5415b80d-f4c7-428e-80ef-7ab686182efa,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01496-275529-280090,c2e0ed17-6953-4d9a-9a06-0146e266e1dc,1cc9104f-7a1d-4a07-9e73-e28f420d413e,NO_VERIFIABLE_IDENTITY,REVIEW_REQUIRED,Contractors,UNSURE
FZ-01497-236717-272765,7cee9757-2247-487c-ad0b-79b6210d3f02,7ec379fe-83be-40fd-a29e-23213ef4078e,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01498-231240-270817,9a494337-0a4d-4d89-986e-fb3037a9279b,8b155478-8d26-45b3-9271-005b191db8ef,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01499-232406-267210,75070dd2-2179-452d-a937-baff6d436639,93838160-577e-4aed-9565-d01ec99cd084,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01500-282755-282808,523c69ee-83d0-4b0a-b942-25a7f93de97b,f29e2242-3185-47c9-b6e8-a58ec42da061,REVIEW_REQUIRED,REVIEW_REQUIRED,Suppliers,UNSURE
FZ-01501-240321-265435,4b1cd7ce-94cb-4d60-9437-0936bcb64ac0,ed42e455-2c26-4da8-aa1b-2f1c4f8d7e51,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01502-230573-248266,0b0fbb2c-3f6b-41f4-b45c-15537d904b01,557e85d3-b462-411b-b783-01f49e631645,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01503-225613-262765,49936dd5-54ad-40cd-a3cf-9ab4e2a70de6,b19e4a2e-cc6e-42ee-a998-61bc25ca8c3c,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
